ANO,ESTACION,mes,trimestre,promedio_mensual
2020,"Arturo Soria",January,1,37.99600036740303
2021,"Arturo Soria",January,1,40.982999864220616
2022,"Arturo Soria",January,1,41.695999803145725
2023,"Arturo Soria",January,1,42.57049992531538
2020,Barajas,January,1,40.099230700960526
2021,Barajas,January,1,40.9571875249967
2022,Barajas,January,1,40.93394739769007
2023,Barajas,January,1,41.6104546927593
2020,"Casa de Campo",January,1,40.18160002052784
2021,"Casa de Campo",January,1,39.966785782682045
2022,"Casa de Campo",January,1,39.2720968187336
2023,"Casa de Campo",January,1,39.075588264228664
2020,"Cuatro Caminos",January,1,39.43054795734687
2021,"Cuatro Caminos",January,1,40.735641020039715
2022,"Cuatro Caminos",January,1,41.40445782064673
2023,"Cuatro Caminos",January,1,42.713295480913736
2020,"El Carmen",January,1,42.37430105879102
2021,"El Carmen",January,1,42.38918366678515
2022,"El Carmen",January,1,41.68225488431898
2023,"El Carmen",January,1,41.43885711445695
2020,"El Pardo",January,1,41.03864861702597
2021,"El Pardo",January,1,41.46709400249852
2022,"El Pardo",January,1,41.21365853308178
2023,"El Pardo",January,1,41.504961253021115
2020,"Ensanche de Vallecas",January,1,41.607894727946224
2021,"Ensanche de Vallecas",January,1,42.0078832136236
2022,"Ensanche de Vallecas",January,1,42.34765956661803
2023,"Ensanche de Vallecas",January,1,42.65779311317822
2020,"Escuelas Aguirre",January,1,40.78358491861595
2021,"Escuelas Aguirre",January,1,39.60786126554012
2022,"Escuelas Aguirre",January,1,38.36860960542678
2023,"Escuelas Aguirre",January,1,37.60805963154011
2020,Farolillo,January,1,35.83772086612014
2021,Farolillo,January,1,34.48266369650978
2022,Farolillo,January,1,33.180576070453284
2023,Farolillo,January,1,32.1419065702953
2020,Moratalaz,January,1,31.937518760715996
2021,Moratalaz,January,1,32.039999962760646
2022,Moratalaz,January,1,31.892077430702326
2023,Moratalaz,January,1,32.03204774148381
2020,"Plaza Eliptica",January,1,31.660759017006693
2021,"Plaza Eliptica",January,1,31.554440833711492
2022,"Plaza Eliptica",January,1,31.33733738770841
2023,"Plaza Eliptica",January,1,31.28057049005642
2020,"Ramon y Cajal",January,1,31.43890524546467
2021,"Ramon y Cajal",January,1,31.85498534070203
2022,"Ramon y Cajal",January,1,32.06666659830331
2023,"Ramon y Cajal",January,1,32.56116140244407
2020,Sanchinarro,January,1,32.627541823604005
2021,Sanchinarro,January,1,32.97410462826449
2022,Sanchinarro,January,1,33.14364125078504
2023,Sanchinarro,January,1,33.42418224930803
2020,"Tres Olivos",January,1,33.42235443123158
2021,"Tres Olivos",January,1,33.6244646804237
2022,"Tres Olivos",January,1,33.69407210077553
2023,"Tres Olivos",January,1,33.91623403508282
2020,Villaverde,January,1,34.11459792844352
2021,Villaverde,January,1,34.607692246854526
2022,Villaverde,January,1,34.91252445751874
2023,Villaverde,January,1,35.49922514583275
2020,"Arturo Soria",February,1,30.97599999308586
2021,"Arturo Soria",February,1,31.3080001026392
2022,"Arturo Soria",February,1,31.495999987920126
2023,"Arturo Soria",February,1,32.99700007140636
2020,Barajas,February,1,31.21807689850147
2021,Barajas,February,1,31.10374991968274
2022,Barajas,February,1,30.694473548939353
2023,Barajas,February,1,31.65431814234365
2020,"Casa de Campo",February,1,30.40880004107952
2021,"Casa de Campo",February,1,29.53142859680312
2022,"Casa de Campo",February,1,29.019354816165663
2023,"Casa de Campo",February,1,29.11720591673956
2020,"Cuatro Caminos",February,1,29.55726028815524
2021,"Cuatro Caminos",February,1,29.922051306145313
2022,"Cuatro Caminos",February,1,30.225180754640018
2023,"Cuatro Caminos",February,1,31.18920455889946
2020,"El Carmen",February,1,30.9768817208467
2021,"El Carmen",February,1,30.892142837296944
2022,"El Carmen",February,1,30.419215675808637
2023,"El Carmen",February,1,30.344571437296413
2020,"El Pardo",February,1,30.25000000201367
2021,"El Pardo",February,1,30.257094031597813
2022,"El Pardo",February,1,30.303739830851555
2023,"El Pardo",February,1,30.674961239908093
2020,"Ensanche de Vallecas",February,1,30.82736840115902
2021,"Ensanche de Vallecas",February,1,31.057956154437832
2022,"Ensanche de Vallecas",February,1,31.31141841337613
2023,"Ensanche de Vallecas",February,1,31.68413792488904
2020,"Escuelas Aguirre",February,1,30.604905638726628
2021,"Escuelas Aguirre",February,1,29.628959536337096
2022,"Escuelas Aguirre",February,1,28.733903736931914
2023,"Escuelas Aguirre",February,1,28.33353235982173
2020,Farolillo,February,1,27.076930252618567
2021,Farolillo,February,1,26.05593887914997
2022,Farolillo,February,1,25.115473271750005
2023,Farolillo,February,1,24.415330758571972
2020,Moratalaz,February,1,24.27898497273095
2021,Moratalaz,February,1,24.167890911413863
2022,Moratalaz,February,1,24.09235914837254
2023,Moratalaz,February,1,24.19382251416406
2020,"Plaza Eliptica",February,1,23.982640261094858
2021,"Plaza Eliptica",February,1,23.875079874258738
2022,"Plaza Eliptica",February,1,23.714551091136485
2023,"Plaza Eliptica",February,1,23.751111122525042
2020,"Ramon y Cajal",February,1,23.88017753369489
2021,"Ramon y Cajal",February,1,24.098134127839227
2022,"Ramon y Cajal",February,1,24.22281610823354
2023,"Ramon y Cajal",February,1,24.643881043477286
2020,Sanchinarro,February,1,24.715726279128113
2021,Sanchinarro,February,1,24.853002765731624
2022,Sanchinarro,February,1,24.955815229190353
2023,Sanchinarro,February,1,25.19396784680898
2020,"Tres Olivos",February,1,25.222910070653867
2021,"Tres Olivos",February,1,25.316501313134754
2022,"Tres Olivos",February,1,25.368376310444294
2023,"Tres Olivos",February,1,25.5390331145594
2020,Villaverde,February,1,25.74484929258013
2021,Villaverde,February,1,25.96580650798847
2022,Villaverde,February,1,26.146348093170673
2023,Villaverde,February,1,26.66554486213058
2020,"Arturo Soria",March,1,30.449999731779098
2021,"Arturo Soria",March,1,33.9890001475811
2022,"Arturo Soria",March,1,32.24400003751119
2023,"Arturo Soria",March,1,30.831500022113325
2020,Barajas,March,1,28.762692293295494
2021,Barajas,March,1,28.591249951161444
2022,Barajas,March,1,26.837631597330695
2023,Barajas,March,1,26.319545500657775
2020,"Casa de Campo",March,1,25.71740004479885
2021,"Casa de Campo",March,1,25.581607227346726
2022,"Casa de Campo",March,1,24.80370975550144
2023,"Casa de Campo",March,1,24.12250004380065
2020,"Cuatro Caminos",March,1,24.78534249838901
2021,"Cuatro Caminos",March,1,25.892564143698948
2022,"Cuatro Caminos",March,1,26.03445784783507
2023,"Cuatro Caminos",March,1,26.382386352358893
