ANO,MAGNITUD,ESTACION,media_anual,ranking_emisiones,mes_max,max_media_mensual
2020,1,"Escuelas Aguirre",12.44,1,3,16.84
2020,1,Villaverde,11.84,2,10,19.06
2020,1,"El Pardo",10.86,3,6,15.94
2020,1,"Ramon y Cajal",7.37,4,3,8.61
2020,1,Barajas,7.13,5,11,11.68
2020,1,"Tres Olivos",5.86,6,12,11.16
2020,1,"Plaza Eliptica",4.99,7,8,9.13
2020,1,Moratalaz,3.67,8,1,8.68
2020,1,Farolillo,2.45,9,12,3.71
2021,1,Barajas,10.08,1,1,16.45
2021,1,"El Pardo",8.57,2,8,15.23
2021,1,"Tres Olivos",8.25,3,1,12.81
2021,1,"Escuelas Aguirre",8.18,4,8,11.81
2021,1,Villaverde,5.57,5,3,13.13
2021,1,"Plaza Eliptica",5.4,6,12,9.16
2021,1,"Ramon y Cajal",5.15,7,1,7.77
2021,1,Moratalaz,4.07,8,1,7.45
2021,1,Farolillo,3.32,9,12,4.39
